FT,MS
FLASCQINT,FLASCQ
FLASTQINT,FLASTQ
FLATCQ,FLATCQ FLATCQSCI
ICQINT,ICQ
LDWSTQ,STQ
PAQ,FLAPAQ PAQ
PAQINT,PAQ FLAPAQ
SCQ,SCQ FLASCQ
SCQINT,SCQ FLASCQ
STQ,STQ FLASTQ STQUH
STQINT,STQ STQUH
TCQ,TCQ FLATCQ FLATCQSCI FLATCQINT
TCQINT,TCQ FLATCQ FLATCQINT FLATCQSCI
